Image, Manual label, Manual area, OrganoID label, OrganoID area
Lung4.png, 6, 5470.926800, 8, 4949.232400
Lung4.png, 7, 3294.912000, 10, 3260.590000
Lung4.png, 8, 5855.333200, 11, 5821.011200
Lung4.png, 9, 15719.476000, 12, 15184.052800
Lung4.png, 10, 12623.631600, 13, 11456.683600
Lung4.png, 11, 12177.445600, 15, 10797.701200
Lung4.png, 12, 5649.401200, 16, 4866.859600
Lung4.png, 13, 4901.181600, 17, 3528.301600
Lung4.png, 14, 12575.580800, 18, 10996.768800
Lung4.png, 15, 18238.710800, 19, 14936.934400
Lung4.png, 16, 6061.265200, 20, 6713.383200
Lung4.png, 17, 18080.829600, 23, 14895.748000
Lung4.png, 18, 4386.351600, 24, 3638.132000
Lung4.png, 19, 6843.806800, 26, 5855.333200
Lung4.png, 20, 4949.232400, 25, 4784.486800
Lung4.png, 21, 2821.268400, 27, 2718.302400
Lung4.png, 22, 13893.545600, 28, 13049.224400
Lung4.png, 23, 47625.207200, 29, 40650.976800
Lung4.png, 24, 10578.040400, 31, 10735.921600
Lung4.png, 25, 28700.056400, 33, 27773.362400
Lung4.png, 26, 5388.554000, 34, 5731.774000
Lung4.png, 28, 2141.692800, 4, 2361.353600
Lung4.png, 33, 1736.693200, 21, 1709.235600
Lung5.png, 1, 12973.716000, 1, 12074.479600
Lung5.png, 2, 47487.919200, 4, 42456.314000
Lung5.png, 3, 16756.000400, 5, 16227.441600
Lung5.png, 4, 3226.268000, 6, 2800.675200
Lung5.png, 5, 10591.769200, 9, 8793.296400
Lung5.png, 6, 6026.943200, 11, 8511.856000
Lung5.png, 7, 1922.032000, 24, 6672.196800
Lung5.png, 8, 15877.357200, 12, 14847.697200
Lung5.png, 9, 11223.294000, 13, 10626.091200
Lung5.png, 10, 40767.671600, 15, 33711.068400
Lung5.png, 11, 5731.774000, 14, 5031.605200
Lung5.png, 12, 13687.613600, 16, 12733.462000
Lung5.png, 13, 11511.598800, 17, 11367.446400
Lung5.png, 14, 50055.204800, 18, 38598.521200
Lung5.png, 15, 26716.244800, 19, 26098.448800
Lung5.png, 16, 26036.669200, 22, 21245.318000
Lung5.png, 17, 6727.112000, 23, 5457.198000
Lung5.png, 18, 43465.380800, 26, 36161.659200
Lung5.png, 19, 39635.045600, 27, 35296.744800
Lung5.png, 20, 17030.576400, 28, 16618.712400
Lung5.png, 21, 19240.913200, 29, 18815.320400
Lung5.png, 22, 10701.599600, 30, 9266.940000
Lung5.png, 23, 23455.654800, 32, 18760.405200
Lung5.png, 24, 18568.202000, 31, 18575.066400
Lung5.png, 25, 2622.200800, 33, 2011.269200
Lung5.png, 30, 2045.591200, 8, 1716.100000
Lung6.png, 1, 17099.220400, 6, 16467.695600
Lung6.png, 2, 19494.896000, 7, 24190.145600
Lung6.png, 3, 7749.907600, 9, 6534.908800
Lung6.png, 4, 17449.304800, 12, 10227.956000
Lung6.png, 5, 17318.881200, 13, 14813.375200
Lung6.png, 6, 4255.928000, 15, 5127.706800
Lung6.png, 10, 2697.709200, 1, 2375.082400
Lung6.png, 11, 2478.048400, 2, 3308.640800
Lung6.png, 14, 1764.150800, 4, 2388.811200
Lung6.png, 17, 2368.218000, 14, 1867.116800
Lung6.png, 18, 3157.624000, 10, 3535.166000
PDAC1.png, 2, 4928.639200, 6, 4757.029200
