Image name, Organoid label, area, perimeter
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 14, 108, 42.970562748477136
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 15, 279, 64.76955262170047
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 16, 315, 74.76955262170047
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 18, 149, 43.21320343559643
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 20, 133, 40.97056274847714
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 25, 118, 38.62741699796952
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 27, 358, 68.5269119345812
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 29, 455, 84.08326112068522
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 32, 218, 52.87005768508881
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 33, 325, 67.35533905932738
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 35, 266, 62.87005768508881
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 1, 2103, 174.99494936611666
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 2, 626, 93.9827560572969
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 3, 1453, 144.71067811865476
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 4, 981, 130.71067811865476
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 5, 806, 106.91168824543142
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 6, 822, 106.32590180780451
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 7, 373, 70.76955262170047
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 8, 833, 105.1543289325507
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 9, 670, 96.91168824543142
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 10, 1188, 126.5685424949238
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 11, 397, 70.5269119345812
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 12, 1190, 127.63961030678928
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 13, 383, 71.94112549695429
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 15, 277, 60.87005768508881
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 17, 120, 46.62741699796952
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 18, 249, 57.698484809834994
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 19, 259, 64.76955262170047
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 21, 166, 46.04163056034261
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 22, 107, 36.384776310850235
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 27, 151, 43.21320343559643
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 28, 591, 141.81727983645297
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 31, 220, 59.35533905932738
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 34, 221, 53.112698372208094
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 35, 124, 38.97056274847714
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_5, 36, 309, 68.5269119345812
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 1, 2065, 170.8528137423857
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 2, 655, 96.32590180780451
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 3, 1520, 149.29646455628165
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 4, 748, 101.49747468305833
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 5, 1056, 121.63961030678928
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 6, 889, 116.46803743153546
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 7, 375, 69.94112549695427
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 8, 934, 111.9827560572969
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 9, 706, 99.1543289325507
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 10, 978, 116.81118318204308
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 11, 370, 67.94112549695429
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 12, 1149, 126.46803743153546
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 13, 346, 67.94112549695429
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 15, 289, 62.04163056034261
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 18, 297, 66.18376618407356
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 20, 130, 41.21320343559643
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 21, 113, 36.384776310850235
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 22, 102, 36.384776310850235
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 26, 163, 44.384776310850235
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 29, 408, 75.84062043356595
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 31, 190, 53.45584412271571
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 33, 259, 58.2842712474619
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_6, 35, 246, 61.11269837220809
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 1, 2168, 176.0243866176395
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 2, 599, 90.32590180780451
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 3, 1573, 150.78174593052023
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 4, 945, 145.4386001800126
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 5, 1205, 130.95331880577402
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 6, 868, 109.7401153701776
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 7, 388, 72.18376618407356
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 8, 988, 113.9827560572969
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 9, 773, 102.66904755831213
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 10, 958, 112.32590180780451
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 11, 450, 77.01219330881975
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 12, 1222, 130.46803743153546
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 14, 287, 61.45584412271572
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 16, 152, 43.798989873223334
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 17, 257, 63.94112549695428
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 19, 118, 41.45584412271571
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 20, 131, 41.21320343559643
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 24, 178, 47.45584412271571
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 25, 124, 47.698484809834994
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 27, 566, 91.49747468305833
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 30, 272, 63.59797974644666
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 32, 221, 53.112698372208094
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 33, 334, 66.76955262170047
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_7, 35, 191, 54.87005768508881
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 1, 2194, 175.4386001800126
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 2, 538, 84.91168824543142
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 3, 1449, 143.53910524340094
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 4, 821, 110.12489168102786
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 5, 909, 111.49747468305833
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 6, 1168, 128.12489168102786
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 7, 337, 65.698484809835
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 8, 1075, 120.8111831820431
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 9, 785, 102.91168824543142
